"","participants","age","sex","laterality","order","orientation","knwYesNo_est","knw_est","est","est_conf","est_meta","RE_est","ER_est","obj_est","ep_est","pot","homogeneity_pot","sadness","happiness","boredom","est_strat","format","type","outliers","theo_dur","ME","RME","ERM"
"1214",13,NA,NA,NA,2,"Forward",NA,490,NA,2,NA,NA,NA,189.36170212766,"cst",2,2,2,3,2,2,"graphic","spd_mean",NA,116,350,1.84831460674157,0.848314606741573
"1313",14,NA,NA,NA,4,"Backward",NA,200,161.111111111111,2,NA,0.846780390348855,-0.153219609651145,190.263157894737,"cst",3,3,1,2,1,2,"graphic","spd_mean",NA,116,165.555555555555,0.870139849392962,-0.129860150607039
"1411",15,NA,NA,NA,6,"Backward",NA,300,185,2,NA,0.855095909406055,-0.144904090593945,216.35,"cst",2,2,2,2,1,5,"graphic","spd_mean",NA,116,217.5,1.00531546105847,0.00531546105847
"1613",18,NA,NA,NA,1,"Backward",NA,250,190.277777777778,3,NA,0.895607260556047,-0.104392739443953,212.45671641791,"cst",3,3,1,3,1,6,"graphic","spd_mean",NA,116,210.138888888889,0.989090354176128,-0.0109096458238691
"1713",19,NA,NA,NA,1,"Forward",NA,200,155.555555555556,2,NA,0.732175278702754,-0.267824721297246,212.45671641791,"cst",3,3,2,3,2,6,"graphic","spd_mean",NA,116,152.777777777778,0.719100720154491,-0.280899279845509
"1814",20,NA,NA,NA,3,"Backward",NA,300,190,2,NA,0.841083319875747,-0.158916680124253,225.899141630901,"cst",3,2,1,3,1,2,"graphic","spd_mean",NA,116,195,0.863217091451425,-0.136782908548575
"1914",21,NA,"Man",NA,3,"Forward",NA,230,148.222222222222,3,NA,0.676066784869976,-0.323933215130024,219.241982507289,"dec",3,2,1,2,1,2,"graphic","spd_mean",NA,124,174.111111111111,0.794150413711583,-0.205849586288416
"2013",22,NA,NA,NA,5,"Forward",NA,320,NA,3,NA,NA,NA,207.457142857143,"cst",3,2,1,3,2,6,"graphic","spd_mean",NA,116,200,0.964054537942432,-0.0359454620575678
"2114",23,NA,NA,NA,1,"Backward",NA,170,122.777777777778,4,NA,0.560886589964227,-0.439113410035773,218.899470899471,"cst",4,2,1,4,2,2,"graphic","spd_mean",NA,116,136.388888888889,0.623066325050759,-0.376933674949241
"2214",24,NA,NA,NA,1,"Backward",NA,270,154.5,3,NA,0.70580344194141,-0.29419655805859,218.899470899471,"cst",3,3,1,3,2,5,"graphic","spd_mean",NA,116,189.75,0.866836266073675,-0.133163733926327
"2314",25,NA,NA,NA,6,"Forward",NA,NA,NA,2,NA,NA,NA,226.900793650794,"cst",4,NA,1,NA,1,1,"graphic","spd_mean",NA,116,300,1.32216373143986,0.322163731439864
"2410",27,NA,NA,NA,3,"Forward",NA,300,200,3,NA,0.860330875245118,-0.139669124754882,232.468699839486,"dec",4,3,1,3,1,2,"graphic","spd_mean",NA,116,230,0.989380506531884,-0.010619493468114
"253",28,NA,"Woman",NA,3,"Backward",NA,350,NA,1,NA,NA,NA,226.900793650794,"cst",1,1,1,2,4,1,"graphic","spd_mean",NA,116,250,1.10180310953322,0.10180310953322
"263",29,NA,NA,NA,6,"Forward",NA,320,220.444444444444,2,NA,1.43316858791976,0.433168587919757,153.816129032258,"cst",2,3,1,1,3,2,"graphic","spd_mean",NA,124,210.222222222222,1.36671117356058,0.366711173560575
"273",30,NA,NA,NA,5,"Forward",NA,360,258,3,NA,1.58,0.58,163.291139240506,"cst",3,2,1,4,3,2,"graphic","spd_mean",NA,116,239,1.46364341085271,0.463643410852713
"293",32,NA,NA,NA,2,"Backward",NA,305,NA,2,NA,NA,NA,217.702054794521,"cst",2,1,1,3,2,2,"graphic","spd_mean",NA,116,230,1.05648979848668,0.0564897984866838
"303",33,NA,NA,NA,6,"Backward",NA,320,NA,3,NA,NA,NA,226.839572192513,"cst",3,2,1,3,1,2,"graphic","spd_mean",NA,116,280,1.23435253070558,0.23435253070558
"315",34,NA,NA,NA,6,"Forward",NA,300,183.333333333333,2,NA,0.800466551749053,-0.199533448250947,229.033096926714,"cst",2,2,1,3,1,2,"graphic","spd_mean",NA,116,191.666666666667,0.836851395010374,-0.163148604989626
"323",35,NA,NA,NA,2,"Forward",NA,NA,NA,1,NA,NA,NA,214.992857142857,"cst",3,2,1,3,1,6,"graphic","spd_mean",NA,116,130,0.604671251536596,-0.395328748463404
"333",36,NA,NA,NA,4,"Forward",NA,NA,NA,1,NA,NA,NA,220.491467576792,"cst",2,2,1,3,3,1,"graphic","spd_mean",NA,116,230,1.04312426475141,0.0431242647514085
"343",38,NA,"Man",NA,1,"Forward",NA,280,171.111111111111,2,NA,0.743031339781126,-0.256968660218874,230.287878787879,"cst",2,1,1,3,3,2,"graphic","spd_mean",NA,116,185.555555555555,0.805754764567844,-0.194245235432155
"352",39,NA,"Man",NA,2,"Forward",NA,300,NA,2,NA,NA,NA,42.6888888888889,"acc",3,2,1,3,2,2,"graphic","spd_mean",NA,124,120,2.8110359187923,1.8110359187923
"363",40,NA,"Man",NA,4,"Forward",NA,340,NA,3,NA,NA,NA,73.7307692307692,"acc",3,3,1,3,3,2,"graphic","spd_mean",NA,124,280,3.79760041731873,2.79760041731873
"373",41,NA,"Man",NA,5,"Forward",NA,300,NA,3,NA,NA,NA,143.49494949495,"cst",4,1,1,3,1,2,"graphic","spd_mean",NA,124,230,1.60284386878784,0.602843868787836
"382",42,NA,"Woman",NA,4,"Backward",NA,310,NA,2,NA,NA,NA,206.901325478645,"dec",4,1,1,2,1,5,"graphic","spd_mean",NA,124,310,1.49829876286605,0.498298762866051
"393",43,NA,"Woman",NA,5,"Forward",NA,250,166.666666666667,3,NA,3.0221350976068,2.0221350976068,55.1486486486486,"acc",4,1,2,3,1,2,"graphic","spd_mean",NA,124,183.333333333333,3.32434860736748,2.32434860736748
"403",46,NA,"Woman",NA,3,"Forward",NA,300,143.333333333333,2,NA,3.02446483180428,2.02446483180428,47.3913043478261,"acc",1,2,3,2,1,3,"graphic","spd_mean",NA,124,121.666666666667,2.56727828746178,1.56727828746178
"415",47,NA,"Woman",NA,2,"Forward",NA,250,134.722222222222,3,NA,0.773486567360495,-0.226513432639505,174.175257731959,"cst",2,3,2,2,3,5,"graphic","spd_mean",NA,116,167.361111111111,0.960877642958142,-0.0391223570418595
"423",48,NA,"Woman",NA,1,"Forward",NA,350,198.333333333333,3,NA,1.17012661955241,0.170126619552414,169.497326203209,"cst",3,2,1,4,2,5,"graphic","spd_mean",NA,116,211.666666666667,1.24879059397611,0.248790593976106
"433",49,NA,"Woman",NA,6,"Backward",NA,300,193.333333333333,2,NA,0.822465757916048,-0.177534242083951,235.065510597303,"cst",2,4,1,3,3,5,"graphic","spd_mean",NA,116,209.166666666667,0.889822867400552,-0.110177132599447
"443",50,NA,"Man",NA,5,"Forward",NA,320,188.444444444444,2,NA,0.793628510729895,-0.206371489270105,237.446666666667,"dec",3,1,1,2,2,5,"graphic","spd_mean",NA,116,204.222222222222,0.860076180849969,-0.139923819150031
"453",51,NA,"Man",NA,2,"Backward",NA,318,197.866666666667,3,NA,0.891649902094901,-0.108350097905099,221.910714285714,"cst",4,3,1,2,1,3,"graphic","spd_mean",NA,116,203.933333333334,0.918988224564792,-0.0810117754352082
"463",52,NA,"Woman",NA,4,"Backward",NA,270,237,3,NA,1.15505799838144,0.155057998381441,205.184501845018,"cst",4,3,1,3,1,1,"graphic","spd_mean",NA,116,253.5,1.2354734286485,0.235473428648503
"473",53,NA,"Man",NA,2,"Backward",NA,420,NA,3,NA,NA,NA,234.284253578732,"cst",3,2,1,1,2,2,"graphic","spd_mean",NA,116,350,1.49391175315323,0.493911753153232
"483",55,NA,"Man",NA,3,"Backward",NA,300,155,2,NA,1.00444418340577,0.00444418340577169,154.31419939577,"cst",3,3,1,3,1,4,"graphic","spd_mean",NA,124,177.5,1.15025059712596,0.150250597125964
"492",56,NA,"Woman",NA,6,"Forward",NA,365,316.333333333333,3,NA,1.53798722573175,0.537987225731753,205.680078508342,"dec",2,2,3,1,3,5,"graphic","spd_mean",NA,124,328.166666666667,1.59551994070907,0.595519940709073
"503",57,NA,"Woman",NA,5,"Forward",NA,300,243.333333333333,2,NA,1.14565114229544,0.145651142295438,212.397408207343,"dec",3,1,1,3,1,3,"graphic","spd_mean",NA,124,246.666666666667,1.16134499355976,0.161344993559759
"523",59,NA,"Woman",NA,5,"Backward",NA,360,176,3,NA,0.805058522803713,-0.194941477196287,218.617647058824,"cst",3,2,1,2,1,3,"graphic","spd_mean",NA,116,213,0.974303780438587,-0.0256962195614155
"543",61,NA,"Man",NA,3,"Backward",NA,300,150,2,NA,0.894507722583338,-0.105492277416662,167.69,"cst",3,2,1,3,2,2,"graphic","spd_mean",NA,116,150,0.894507722583338,-0.105492277416662
"553",62,NA,"Man",NA,5,"Forward",NA,330,361.166666666667,2,NA,1.66563627167822,0.665636271678224,216.834054834055,"cst",4,1,1,2,1,1,"graphic","spd_mean",NA,116,320.583333333333,1.47847317423768,0.478473174237685
"573",64,NA,"Woman",NA,2,"Forward",NA,300,NA,3,NA,NA,NA,232.642268041237,"cst",3,1,1,3,1,2,"graphic","spd_mean",NA,116,250,1.07461125660831,0.0746112566083053
"583",65,NA,"Man",NA,2,"Forward",NA,315,222.25,2,NA,0.951991364613764,-0.0480086353862364,233.458,"cst",3,3,1,3,1,4,"graphic","spd_mean",NA,116,251.125,1.07567528206358,0.0756752820635833
"593",66,NA,"Woman",NA,6,"Backward",NA,300,236.666666666667,1,NA,1.0067208735195,0.00672087351949961,235.086678832117,"cst",4,2,3,2,1,2,"graphic","spd_mean",NA,116,233.333333333333,0.992541706286831,-0.0074582937131694
"602",67,NA,"Woman",NA,1,"Forward",NA,250,105.555555555556,1,NA,2.2213112265039,1.2213112265039,47.5194805194805,"acc",3,2,1,4,1,1,"graphic","spd_mean",NA,124,102.777777777778,2.1628556679117,1.16285566791169
"615",69,NA,"Man",NA,4,"Forward",NA,320,192,3,NA,0.980116311271116,-0.0198836887288839,195.895117540687,"cst",4,2,1,3,1,5,"graphic","spd_mean",NA,124,196,1.00053540108926,0.000535401089264349
"623",70,NA,"Woman",NA,3,"Forward",NA,392,274.4,2,NA,1.34560377584897,0.345603775848966,203.923327895595,"cst",4,2,1,4,1,5,"graphic","spd_mean",NA,124,287.2,1.4083724651014,0.408372465101396
"633",71,NA,"Woman",NA,4,"Backward",NA,280,178.888888888889,2,NA,0.779185679626906,-0.220814320373094,229.584415584416,"cst",4,1,1,3,1,5,"graphic","spd_mean",NA,116,189.444444444445,0.8251624743875,-0.1748375256125
"643",72,NA,"Woman",NA,1,"Forward",NA,250,187.5,1,NA,2.74639045825487,1.74639045825487,68.2714285714286,"acc",3,2,1,3,1,2,"graphic","spd_mean",NA,116,193.75,2.83793680686337,1.83793680686337
"652",73,NA,"Woman",NA,2,"Forward",NA,300,NA,3,NA,NA,NA,100.758064516129,"acc",3,3,1,3,3,2,"graphic","spd_mean",NA,116,290,2.87818152713302,1.87818152713302
"663",74,NA,"Man",NA,4,"Forward",NA,300,111.666666666667,3,NA,0.573559480698643,-0.426440519301357,194.690647482014,"cst",4,3,1,2,2,5,"graphic","spd_mean",NA,116,130.833333333333,0.67200625723647,-0.32799374276353
"673",75,NA,"Man",NA,6,"Forward",NA,300,201.666666666667,2,NA,0.991471790061563,-0.00852820993843716,203.401315789474,"cst",4,2,1,2,1,3,"graphic","spd_mean",NA,116,210.833333333333,1.03653868960982,0.0365386896098157
"683",76,NA,"Woman",NA,5,"Backward",NA,260,NA,2,NA,NA,NA,225.24154589372,"cst",3,2,1,3,3,4,"graphic","spd_mean",NA,116,240,1.06552278820375,0.0655227882037534
"693",77,NA,"Man",NA,3,"Backward",NA,300,NA,2,NA,NA,NA,230.526096033403,"cst",3,NA,1,3,3,5,"graphic","spd_mean",NA,116,280,1.21461303001214,0.214613030012135
"703",78,NA,"Woman",NA,6,"Backward",NA,300,NA,1,NA,NA,NA,228.295711060948,"cst",3,2,1,4,1,5,"graphic","spd_mean",NA,116,250,1.09507094477678,0.0950709447767834
"715",79,NA,"Woman",NA,1,"Forward",NA,250,147.222222222222,1,NA,0.637679257177745,-0.362320742822255,230.871900826446,"cst",2,1,2,3,3,1,"graphic","spd_mean",NA,116,173.611111111111,0.751980256105831,-0.248019743894169
"723",80,NA,"Man",NA,4,"Backward",NA,300,148.333333333333,2,NA,3.10413552566019,2.10413552566019,47.7857142857143,"acc",3,1,1,3,1,4,"graphic","spd_mean",NA,124,149.166666666667,3.12157448928749,2.12157448928749
"733",81,NA,"Man",NA,5,"Backward",NA,300,218.333333333333,2,NA,1.96175793688326,0.961757936883256,111.294736842105,"cst",2,2,1,3,1,2,"graphic","spd_mean",NA,124,224.166666666667,2.01417131687632,1.01417131687632
"742",82,NA,"Woman",NA,3,"Forward",NA,300,243.333333333333,2,NA,1.26630877117982,0.266308771179822,192.159557661927,"cst",2,2,1,2,2,5,"graphic","spd_mean",NA,124,226.666666666667,1.17957529370175,0.179575293701752
"753",83,NA,"Woman",NA,2,"Backward",NA,290,201.388888888889,4,NA,1.01318746722041,0.0131874672204054,198.767647058824,"cst",NA,2,NA,3,3,5,"graphic","spd_mean",NA,124,225.694444444445,1.13546871326425,0.135468713264247
"763",85,NA,"Man",NA,1,"Backward",NA,250,168.055555555556,3,NA,0.772578564474334,-0.227421435525666,217.525522041763,"cst",3,1,1,3,1,5,"graphic","spd_mean",NA,124,184.027777777778,0.846005452833465,-0.153994547166535
"773",86,NA,"Man",NA,2,"Forward",NA,310,223.888888888889,3,NA,1.05781384721078,0.0578138472107776,211.652446675031,"cst",3,2,1,3,2,5,"graphic","spd_mean",NA,124,261.944444444445,1.23761595275405,0.237615952754049
"783",87,NA,"Man",NA,5,"Backward",NA,300,185,2,NA,0.900619644816034,-0.0993803551839663,205.41412911084,"cst",4,2,1,3,3,2,"graphic","spd_mean",NA,124,182.5,0.888449109075276,-0.111550890924724
"793",88,NA,"Man",NA,3,"Forward",NA,350,186.666666666667,3,NA,1.75404995610885,0.75404995610885,106.420382165605,"acc",2,2,1,2,3,2,"graphic","spd_mean",NA,116,193.333333333333,1.81669459739845,0.816694597398452
"803",89,NA,"Man",NA,6,"Forward",NA,320,NA,2,NA,NA,NA,166.413127413127,"cst",3,4,1,3,2,2,"graphic","spd_mean",NA,116,150,0.90137119788404,-0.0986288021159603
"815",90,NA,"Man",NA,6,"Backward",NA,320,188.444444444444,2,NA,1.02572923723405,0.0257292372340531,183.717532467532,"cst",2,3,1,3,3,2,"graphic","spd_mean",NA,116,249.222222222222,1.35655110796933,0.356551107969329
"823",91,NA,"Man",NA,2,"Forward",NA,300,250,2,NA,1.30656568817675,0.306565688176754,191.341317365269,"cst",3,2,1,3,2,5,"graphic","spd_mean",NA,116,175,0.914595981723726,-0.085404018276272
"832",92,NA,"Man",NA,5,"Forward",NA,320,241.777777777778,3,NA,1.14124068536713,0.141240685367127,211.85520361991,"cst",2,3,1,3,2,5,"graphic","spd_mean",NA,116,255.888888888889,1.207848023162,0.207848023161992
"843",93,NA,"Man",NA,4,"Forward",NA,270,189,3,NA,0.873904076693443,-0.126095923306557,216.270875763747,"cst",2,1,1,3,2,5,"graphic","spd_mean",NA,116,189.5,0.876215992240251,-0.123784007759749
"853",94,NA,"Man",NA,3,"Forward",NA,398,258.7,NA,NA,1.17085461441214,0.170854614412137,220.949720670391,"cst",3,2,2,3,2,3,"graphic","spd_mean",NA,116,254.35,1.15116687737042,0.151166877370418
"863",95,NA,"Woman",NA,1,"Forward",NA,300,225,2,NA,0.978143873706871,-0.0218561262931293,230.027510316369,"cst",3,3,1,4,1,2,"graphic","spd_mean",NA,116,252.5,1.09769479160438,0.0976947916043773
"873",96,NA,"Man",NA,6,"Forward",NA,250,154.166666666667,2,NA,0.671682585614203,-0.328317414385797,229.523096129838,"dec",3,3,1,3,1,2,"graphic","spd_mean",NA,116,167.083333333333,0.727958694138636,-0.272041305861364
"883",97,NA,"Woman",NA,5,"Forward",NA,300,200,3,NA,4.06372662202725,3.06372662202725,49.2159090909091,"acc",2,2,1,2,1,2,"graphic","spd_mean",NA,124,200,4.06372662202725,3.06372662202725
"892",98,NA,"Woman",NA,3,"Forward",NA,300,165,2,NA,2.2683876880776,1.2683876880776,72.7388888888889,"acc",4,NA,1,3,1,5,"graphic","spd_mean",NA,124,157.5,2.16527915680135,1.16527915680134
"903",99,NA,"Woman",NA,2,"Forward",NA,300,123.333333333333,2,NA,1.14851593940143,0.148515939401431,107.384955752212,"acc",3,3,1,3,1,4,"graphic","spd_mean",NA,124,121.666666666667,1.13299545373384,0.132995453733844
"914",100,NA,"Man",NA,1,"Forward",NA,300,243.333333333333,4,NA,1.85084497401934,0.850844974019339,131.471482889734,"cst",4,1,1,4,1,6,"graphic","spd_mean",NA,124,246.666666666667,1.87619901475933,0.876199014759329
"923",101,NA,"Man",NA,4,"Forward",NA,300,NA,2,NA,NA,NA,171.068468468468,"cst",3,3,1,2,2,5,"graphic","spd_mean",NA,124,230,1.34449090506936,0.344490905069357
"933",102,NA,"Man",NA,2,"Backward",NA,305,223.666666666667,3,NA,1.22006398937007,0.220063989370072,183.323717948718,"cst",2,2,3,2,3,2,"graphic","spd_mean",NA,124,256.833333333333,1.40098256901586,0.400982569015857
"943",104,NA,"Woman",NA,5,"Backward",NA,350,NA,2,NA,NA,NA,198.492617449664,"cst",3,2,2,3,2,6,"graphic","spd_mean",NA,124,300,1.51139122378734,0.511391223787337
"953",105,NA,"Man",NA,4,"Forward",NA,315,255.5,2,NA,1.26673682325019,0.26673682325019,201.69935483871,"cst",3,3,1,3,2,2,"graphic","spd_mean",NA,124,272.75,1.35226015084732,0.352260150847316
"962",106,26,"Woman","Left-handed",6,"Backward",NA,110,57.4444444444444,1,NA,0.780189178256946,-0.219810821743054,73.6288659793814,"acc",3,2,1,3,2,2,"graphic","spd_mean",NA,116,128.722222222222,1.74825756868602,0.748257568686018
"972",110,22,"Woman","Right-handed",3,"Forward",NA,300,96.6666666666667,2,NA,0.895116982529786,-0.104883017470214,107.993333333333,"acc",3,1,2,3,1,2,"graphic","spd_mean",NA,116,103.333333333333,0.956849188221493,-0.0431508117785048
"983",111,23,"Woman","Left-handed",5,"Forward",NA,250,137.5,2,NA,0.859399194797151,-0.140600805202849,159.995495495496,"cst",3,3,2,2,3,2,"graphic","spd_mean",NA,116,158.75,0.992215433993076,-0.00778456600692601
"993",112,22,"Man","Left-handed",4,"Backward",NA,270,159,3,NA,0.695478591439629,-0.304521408560371,228.619546247819,"cst",2,3,1,3,2,5,"graphic","spd_mean",NA,116,179.5,0.785147214864236,-0.214852785135765
"1003",113,31,"Man","Right-handed",1,"Backward",NA,240,190.666666666667,3,NA,0.834703970609015,-0.165296029390985,228.424295774648,"cst",2,1,1,3,1,5,"graphic","spd_mean",NA,116,195.333333333333,0.855133788071474,-0.144866211928527
"1014",114,31,"Man","Right-handed",1,"Backward",NA,240,190.666666666667,3,NA,0.834703970609015,-0.165296029390985,228.424295774648,"cst",2,1,1,3,1,5,"graphic","spd_mean",NA,116,195.333333333333,0.855133788071474,-0.144866211928527
"1023",115,32,"Man","Right-handed",3,"Backward",NA,300,NA,2,NA,NA,NA,232.037313432836,"cst",3,4,1,3,1,1,"graphic","spd_mean",NA,116,150,0.646447753513653,-0.353552246486347
"1033",116,30,"Man","Right-handed",4,"Forward",NA,350,221.666666666667,3,NA,0.955862486355629,-0.044137513644371,231.902255639098,"cst",3,1,1,4,1,1,"graphic","spd_mean",NA,116,260.833333333333,1.12475548206508,0.124755482065083
"1043",117,NA,NA,NA,2,"Forward",NA,300,168.333333333333,1,NA,0.736932701324393,-0.263067298675607,228.424295774648,"cst",3,3,3,1,1,2,"graphic","spd_mean",NA,116,179.166666666667,0.784359063290814,-0.215640936709186
"1053",118,24,"Woman","Right-handed",5,"Forward",NA,300,NA,2,NA,NA,NA,231.519756838906,"cst",2,2,1,3,2,5,"graphic","spd_mean",NA,116,270,1.16620716817645,0.166207168176447
"1073",120,NA,"Man","Right-handed",2,"Forward",NA,350,NA,3,NA,NA,NA,119.285714285714,"cst",4,3,1,4,1,5,"graphic","spd_mean",NA,124,250,2.09580838323353,1.09580838323353
"1083",121,29,"Woman","Right-handed",1,"Backward",NA,320,238.222222222222,3,NA,1.38674859522173,0.386748595221733,171.784722222222,"cst",3,3,1,2,1,5,"graphic","spd_mean",NA,124,269.111111111111,1.56656021344545,0.566560213445446
"1093",122,53,"Woman","Left-handed",4,"Backward",NA,300,195,2,NA,1.08335851600456,0.0833585160045561,179.995815899582,"cst",4,1,1,3,1,2,"graphic","spd_mean",NA,124,197.5,1.09724772774821,0.097247727748204
"1105",123,61,"Woman","Right-handed",6,"Forward",NA,300,156.666666666667,1,NA,0.834505536938204,-0.165494463061796,187.735922330097,"cst",2,3,2,2,1,5,"graphic","spd_mean",NA,124,156.666666666667,0.834505536938204,-0.165494463061796
"1114",124,43,"Woman","Right-handed",5,"Forward",NA,310,220.444444444444,3,NA,1.13768953815204,0.137689538152044,193.765027322404,"cst",3,1,1,3,1,2,"graphic","spd_mean",NA,124,255.222222222222,1.31717382516897,0.317173825168975
"1122",125,64,"Man","Right-handed",3,"Forward",NA,200,131.111111111111,2,NA,0.618570738050338,-0.381429261949662,211.958152958153,"dec",3,2,1,3,1,2,"graphic","spd_mean",NA,124,140.555555555555,0.663128799689558,-0.336871200310442
"1133",126,58,"Man","Right-handed",5,"Backward",NA,300,191.666666666667,2,NA,0.914149443561208,-0.0858505564387917,209.666666666667,"dec",2,3,1,NA,1,6,"graphic","spd_mean",NA,124,205.833333333333,0.981717011128774,-0.0182829888712241
"1143",127,52,"Woman","Right-handed",3,"Forward",NA,200,102.222222222222,1,NA,0.845078323306267,-0.154921676693733,120.961832061069,"acc",4,1,4,1,4,1,"graphic","spd_mean",NA,116,151.111111111111,1.24924621706144,0.249246217061439
"1153",128,31,"Man","Right-handed",1,"Forward",NA,350,176.944444444444,2,NA,1.05271027449005,0.0527102744900529,168.084656084656,"cst",4,3,1,3,1,5,"graphic","spd_mean",NA,116,203.472222222222,1.21053418534374,0.210534185343742
"1163",129,NA,"Woman","Right-handed",2,"Forward",NA,360,230,2,NA,1.18738049713193,0.187380497131931,193.703703703704,"cst",3,1,1,2,1,5,"graphic","spd_mean",NA,116,215,1.10994263862333,0.109942638623327
"1173",130,27,"Man","Right-handed",4,"Forward",NA,300,241.666666666667,3,NA,1.96213092403801,0.962130924038012,123.165413533835,"cst",4,1,1,4,1,5,"graphic","spd_mean",NA,116,245.833333333333,1.99596076755591,0.995960767555911
"1183",131,38,"Man","Right-handed",6,"Backward",NA,250,165.277777777778,3,NA,0.967856396356305,-0.0321436036436946,170.766839378238,"cst",4,2,1,3,1,3,"graphic","spd_mean",NA,116,162.638888888889,0.952403227002717,-0.0475967729972827
"1193",132,37,"Man","Right-handed",3,"Backward",NA,300,216.666666666667,2,NA,1.08389396814444,0.0838939681444425,199.896551724138,"cst",2,2,1,3,2,5,"graphic","spd_mean",NA,116,218.333333333333,1.09223161405325,0.0922316140532458
"1203",133,21,"Woman","Right-handed",3,"Backward",NA,350,NA,2,NA,NA,NA,134.187050359712,"cst",3,2,1,3,1,2,"graphic","spd_mean",NA,116,260,1.93759382371864,0.937593823718636
"1215",134,49,"Man","Right-handed",2,"Backward",NA,300,170,2,NA,0.816111796136457,-0.183888203863543,208.304794520548,"cst",3,3,1,1,1,5,"graphic","spd_mean",NA,116,185,0.888121660501438,-0.111878339498561
"1223",135,23,"Woman","Right-handed",1,"Backward",NA,220,191.888888888889,2,NA,0.889200080909926,-0.110799919090075,215.799450549451,"cst",3,3,1,3,2,2,"graphic","spd_mean",NA,116,200.944444444445,0.931162910437522,-0.0688370895624784
"1232",136,39,"Man","Right-handed",5,"Forward",NA,NA,NA,2,NA,NA,NA,223.962222222222,"cst",2,3,3,2,3,2,"graphic","spd_mean",NA,116,250,1.1162596866535,0.116259686653503
"1243",137,19,"Man","Right-handed",4,"Backward",NA,200,131.111111111111,2,NA,0.610909441163545,-0.389090558836455,214.616279069767,"cst",3,2,1,3,2,2,"graphic","spd_mean",NA,116,140.555555555555,0.654915629721936,-0.345084370278064
"1253",138,52,"Man","Right-handed",6,"Backward",NA,250,206.944444444444,3,NA,0.929094637073554,-0.0709053629264465,222.737745098039,"cst",2,1,2,3,3,5,"graphic","spd_mean",NA,116,215.972222222222,0.969625611174077,-0.0303743888259223
"1263",140,35,"Woman","Right-handed",6,"Backward",NA,300,243.333333333333,2,NA,1.06356874472816,0.0635687447281651,228.789473684211,"cst",2,3,1,2,3,1,"graphic","spd_mean",NA,116,246.666666666667,1.07813817958745,0.078138179587455
"1273",141,21,"Man","Left-handed",1,"Backward",NA,280,210,3,NA,0.937686191523021,-0.062313808476979,223.955521472393,"dec",3,2,1,3,3,3,"graphic","spd_mean",NA,116,230,1.02698963833474,0.0269896383347375
"1292",143,38,"Man","Right-handed",5,"Forward",NA,200,153.333333333333,3,NA,0.767063423609913,-0.232936576390087,199.896551724138,"cst",4,1,1,3,1,2,"graphic","spd_mean",NA,116,201.666666666667,1.00885515496521,0.00885515496521201
"1303",144,22,"Man","Right-handed",3,"Forward",NA,320,243.555555555556,3,NA,1.11642148326409,0.116421483264089,218.157352941176,"dec",3,3,1,3,2,5,"graphic","spd_mean",NA,116,246.777777777778,1.13119165799705,0.131191657997054
"1314",145,19,"Man","Left-handed",3,"Forward",NA,200,173.333333333333,2,NA,2.03846035126709,1.03846035126709,85.0314960629921,"acc",3,3,3,2,1,2,"graphic","spd_mean",NA,124,176.666666666667,2.07766151186838,1.07766151186838
"1323",146,35,"Woman","Left-handed",2,"Backward",NA,350,NA,2,NA,NA,NA,124.518072289157,"cst",3,3,1,3,2,3,"graphic","spd_mean",NA,124,200,1.60619254958878,0.606192549588776
"1332",147,27,"Man","Right-handed",5,"Backward",NA,296,NA,3,NA,NA,NA,95.1666666666667,"acc",2,3,2,3,3,1,"graphic","spd_mean",NA,124,240,2.52189141856392,1.52189141856392
"1343",148,70,"Man","Right-handed",5,"Backward",NA,300,158.333333333333,3,NA,1.36397506497283,0.36397506497283,116.082278481013,"cst",3,2,1,3,2,1,"graphic","spd_mean",NA,124,159.166666666667,1.37115388110426,0.371153881104266
"1353",149,18,"Woman","Right-handed",5,"Backward",NA,200,113.333333333333,2,NA,0.733436055469954,-0.266563944530046,154.52380952381,"cst",3,3,1,3,1,2,"graphic","spd_mean",NA,124,116.666666666667,0.755007704160247,-0.244992295839754
"1362",150,49,"Woman","Right-handed",3,"Backward",NA,300,NA,2,NA,NA,NA,154.52380952381,"cst",2,3,1,4,1,6,"graphic","spd_mean",NA,124,200,1.29429892141757,0.294298921417566
"1383",152,20,"Woman","Right-handed",1,"Backward",NA,300,196.666666666667,1,NA,1.2264291017075,0.226429101707498,160.357142857143,"cst",3,4,1,4,1,1,"graphic","spd_mean",NA,124,188.333333333333,1.17446176688938,0.174461766889384
"1392",153,32,"Woman","Right-handed",1,"Backward",NA,210,156.333333333333,3,NA,0.881515623129415,-0.118484376870585,177.346072186837,"cst",3,2,2,2,1,2,"graphic","spd_mean",NA,124,163.166666666667,0.920046689812044,-0.0799533101879562
"1403",154,25,"Man","Right-handed",4,"Backward",NA,400,320,3,NA,1.66127051468125,0.661270514681255,192.623655913978,"cst",4,3,2,3,1,2,"graphic","spd_mean",NA,124,345,1.79105727364073,0.791057273640728
"1423",156,26,"Man","Right-handed",6,"Forward",NA,310,201.5,2,NA,0.986985574557087,-0.0130144254429134,204.156985871272,"cst",2,3,1,2,2,2,"graphic","spd_mean",NA,124,210.75,1.03229384534941,0.0322938453494095
